"id";"identifier";"city_id";"police_station_id";"location_id";"created_at";"updated_at";"deleted_at"
53;"JK - 67 - Camino de la Aguada y Los Pejes";14;5;53;"2025-05-05 18:25:57";"2025-05-05 18:25:57";""
54;"JK - 68 - Cruce Av. Santos Ortiz e YPF Agro";14;5;54;"2025-05-05 18:28:07";"2025-05-05 18:28:07";""
55;"JK - 69 - Rotonda Monumento Islas Malvinas";14;5;55;"2025-05-05 18:31:08";"2025-05-05 18:31:08";""
56;"JK - 70 - Ruta 9 y Cruce Barrio Altos de los Puquios";14;14;56;"2025-05-05 18:32:34";"2025-05-05 18:32:34";""
57;"JK - 142 - Av. Los Eucaliptos y Concaran";14;14;57;"2025-05-05 18:35:02";"2025-05-05 18:35:02";""
58;"JK - 300 - Perón y Pancha Hernández";14;14;58;"2025-05-05 18:37:54";"2025-05-05 18:37:54";""
59;"JK - 301 - Perón y Rosendo Hernández";14;14;59;"2025-05-05 18:39:50";"2025-05-05 18:39:50";""
60;"JK - 302 - Pancha Hernández y Las Higueras";14;14;60;"2025-05-05 18:41:23";"2025-05-05 18:41:23";""
61;"JK - 303 - Los Eucaliptos y Fabrica Estireno";14;14;61;"2025-05-05 18:43:41";"2025-05-05 18:43:41";""
62;"JK - 304 - Bv. Toribio Videla";14;5;62;"2025-05-05 18:49:13";"2025-05-05 18:49:13";""
63;"JK - 305 - Aguada y las Americas";14;5;63;"2025-05-05 18:50:32";"2025-05-05 18:50:32";""
64;"JK - 306 - 20 de Noviembre y Gomes Isleños";14;5;64;"2025-05-05 18:52:15";"2025-05-05 18:52:15";""
65;"JK - 307 - B° Los Eucaliptos Mz40 y 25";14;14;65;"2025-05-05 18:54:29";"2025-05-05 18:54:29";""
66;"JK - 308 - Bertin y Pueyrredón";14;5;66;"2025-05-05 18:56:13";"2025-05-05 18:56:13";""
67;"JK - 309 - Rotonda Cuchy Corral";14;14;67;"2025-05-05 18:57:29";"2025-05-05 18:57:29";""
68;"JK - 310 - Municipalidad de Juana Koslay y Av. Portezuelo";14;14;68;"2025-05-05 18:59:39";"2025-05-05 18:59:39";""
69;"JK - 311 - Cerros Colorados Mza 28";14;14;69;"2025-05-05 19:01:17";"2025-05-05 19:01:17";""
70;"JK - 312 - Ingreso Cerro de la Cruz";14;5;70;"2025-05-05 19:06:27";"2025-05-05 19:06:27";""
71;"LC 01 - La Cumbre";15;5;71;"2025-05-06 11:03:56";"2025-05-06 11:03:56";""
72;"LP 71 - Ruta 146 y Bv. Las Cañadas";16;12;72;"2025-05-06 11:06:17";"2025-05-06 11:06:17";""
73;"LP 73 - Rotonda Plaza de lo Niños";16;12;73;"2025-05-06 11:08:43";"2025-05-06 11:08:43";""
74;"LP 74 - Bv Tobar García y Calle 22 Oeste";16;12;74;"2025-05-06 11:12:59";"2025-05-06 11:12:59";""
75;"LP 75 - Tobar García y Calle 22 Este";16;12;75;"2025-05-06 11:18:51";"2025-05-06 11:18:51";""
76;"LP 76 - Bv. Las Cañadas y Av. 25 de Mayo";16;12;76;"2025-05-06 11:23:31";"2025-05-06 11:23:31";""
77;"LP 77 - Calle 9 Norte y Calle 26 Este";16;15;77;"2025-05-06 11:31:31";"2025-05-06 11:31:31";""
78;"LP 78 - Calle 9 Norte y Av. Serrana";16;15;78;"2025-05-06 11:34:10";"2025-05-06 11:34:10";""
79;"LP 79 - Acceso a B° Los Lapachos";16;15;79;"2025-05-06 11:36:30";"2025-05-06 11:36:30";""
80;"LP 81 - Av. Serrana Frente del Aiello";16;12;80;"2025-05-06 11:38:36";"2025-05-06 11:38:36";""
81;"LP 82 - Av. 25 de Mayo y Bajada del Mirador";16;12;81;"2025-05-06 11:40:18";"2025-05-06 11:40:18";""
82;"LP 84 - Bv Tobar García y Calle 12 Oeste";16;12;82;"2025-05-06 11:43:21";"2025-05-06 11:43:21";""
83;"LP 85 - Estación el Salvador sobre Tobar García";16;12;83;"2025-05-06 11:48:19";"2025-05-06 11:48:19";""
84;"LP 86 - Av. Serrana Frente Comisaria 28°";16;12;84;"2025-05-06 11:50:26";"2025-05-06 11:50:26";""
85;"LP 87 - Calle 9 Norte y Calle 50 Este";16;15;85;"2025-05-06 11:52:57";"2025-05-06 11:52:57";""
86;"LP 88 - Estadio Juan G. Funes";16;12;86;"2025-05-06 11:54:33";"2025-05-06 11:54:33";""
87;"LP 201 - Rotonda del Cabildo";16;15;87;"2025-05-06 12:01:30";"2025-05-06 12:01:30";""
88;"LP 202 - Av. Las Cañadas - B° 30 Viv.";16;12;88;"2025-05-06 12:03:49";"2025-05-06 12:03:49";""
89;"LP 203 - Bv. Tobar García (Entre Lic. 6 y 7) Parada de Colectivo";16;12;89;"2025-05-06 12:10:30";"2025-05-06 12:10:30";""
90;"LP 204 - Av. 25 de Mayo y Salida Mod. 15";16;15;90;"2025-05-06 12:13:11";"2025-05-06 12:13:11";""
91;"LP 205 - Bv. Tobar García y Calle 6 Oeste";16;12;91;"2025-05-06 12:15:24";"2025-05-06 12:15:24";""
92;"LP 206 - Calle 5 Norte y Av. Serrana";16;12;92;"2025-05-06 12:19:14";"2025-05-06 12:19:14";""
93;"LP 207 - Modulo 1 - BV Tobar García";16;12;93;"2025-05-06 12:26:18";"2025-05-06 12:26:18";""
94;"LP 208 - Hospital (Modulo 1)";16;12;94;"2025-05-06 12:38:51";"2025-05-06 12:38:51";""
95;"LP 209 - Tobar García y Calle 40 Este";16;12;95;"2025-05-06 12:40:54";"2025-05-06 12:40:54";""
96;"LP 210 - Calle 5 Norte entre 22 y 24 Oeste";16;12;96;"2025-05-06 12:44:35";"2025-05-06 12:44:35";""
97;"LP 211 - B° Los Lapachos frente al Balneario";16;15;97;"2025-05-06 12:46:36";"2025-05-06 12:46:36";""
98;"LP 212 - Calle 14 Norte y Calle 16 Oeste";16;15;98;"2025-05-06 12:49:41";"2025-05-06 12:49:41";""
99;"LP 213 - Calle 1 Sur y Calle 18 Oeste";16;12;99;"2025-05-06 12:52:09";"2025-05-06 12:52:09";""
100;"LP 214 - Residencia ULP";16;15;100;"2025-05-06 12:54:25";"2025-05-06 12:54:25";""
101;"LP 215 - Ludoteca Los Miraflores";16;15;101;"2025-05-06 12:56:19";"2025-05-06 12:56:19";""
102;"LP 216 - Esc EPA N° 13 Esther Guevara";16;15;102;"2025-05-06 13:01:06";"2025-05-06 13:01:06";""
103;"LP 217 - Av. Serrana y Rotonda Los Vientos";16;15;103;"2025-05-06 13:03:19";"2025-05-06 13:03:19";""
104;"LP 218 - Acceso Sur Diego Maradona";16;12;104;"2025-05-06 13:05:37";"2025-05-06 13:05:37";""
105;"LP 219 - Rotonda Bv. Las Cañadas";16;12;105;"2025-05-06 13:06:51";"2025-05-06 13:06:51";""
106;"LP 220 - Autopista 25 de Mayo (Hostería Sol Y Tierra)";16;12;106;"2025-05-06 13:10:31";"2025-05-06 13:10:31";""
107;"LP 315 - Bv. Tobar García y Calle 30 Este";16;12;107;"2025-05-06 13:12:28";"2025-05-06 13:12:28";""
108;"LP 316 - Calle 5 Sur y Calle 30 Oeste";16;12;108;"2025-05-06 13:14:55";"2025-05-06 13:14:55";""
109;"LP 318 - Ingreso a B° Uocra";16;15;109;"2025-05-06 13:16:22";"2025-05-06 13:16:22";""
110;"LP 319 - Intersección Mod. 12 - 100 Viv. y 108 Viv";16;15;110;"2025-05-06 13:19:56";"2025-05-06 13:19:56";""
111;"LT 01 - Chacabuco e Hipólito Yrigoyen";17;29;111;"2025-05-06 13:29:17";"2025-05-06 13:29:17";""
112;"LT 02 - Centenario y Balcarce";17;29;112;"2025-05-06 13:31:19";"2025-05-06 13:31:19";""
113;"LT 03 - Rotonda Río Conlara";17;29;113;"2025-05-06 13:32:33";"2025-05-06 13:32:33";""
114;"LT 04 - Av. Belgrano y Las Heras";17;29;114;"2025-05-06 13:34:40";"2025-05-06 13:34:40";""
115;"PQ 01 - Ruta 20 y Planta Potabilizadora";18;5;115;"2025-05-06 13:37:26";"2025-05-06 13:37:26";""
116;"PQ 02 - Barrio Los Puquios";18;5;116;"2025-05-06 13:38:52";"2025-05-06 13:38:52";""
117;"LU 01 - Centenario y J Lucero";19;30;117;"2025-05-06 13:43:40";"2025-05-06 13:43:40";""
118;"LU 02 - Centenario y 9 de Julio";19;30;118;"2025-05-06 14:11:52";"2025-05-06 14:11:52";""
119;"LU 03 - Ayacucho y 9 de Julio";19;30;119;"2025-05-06 14:14:17";"2025-05-06 14:14:17";""
120;"NO 01 - Pringles y Nogolí";20;31;120;"2025-05-06 14:16:35";"2025-05-06 14:16:35";""
121;"NO 02 - Ruta N° 3 y 9 de Julio";20;31;121;"2025-05-06 14:18:12";"2025-05-06 14:18:12";""
122;"SL 353 - Parkur 1";1;2;122;"2025-05-06 14:22:18";"2025-05-06 14:22:18";""
123;"SL 354 - Parkur 2";1;2;123;"2025-05-06 14:23:15";"2025-05-06 14:23:15";""
124;"SL 355 - BMX Street 1";1;2;124;"2025-05-06 14:24:23";"2025-05-06 14:24:23";""
125;"SL 356 - BMX Street 2";1;2;125;"2025-05-06 14:25:26";"2025-05-06 14:25:26";""
126;"SL 357 - Skate Park";1;2;126;"2025-05-06 14:26:58";"2025-05-06 14:26:58";""
127;"SL 358 - BMX Dirt 1";1;2;127;"2025-05-06 14:27:56";"2025-05-06 14:27:56";""
128;"SL 359 - BMX Dirt 2";1;2;128;"2025-05-06 14:28:59";"2025-05-06 14:28:59";""
129;"PF 101 - Circuito salida a El Volcán";21;13;129;"2025-05-06 14:31:40";"2025-05-06 14:31:40";""
130;"PF 102 - Circuito Pasando Ingreso Hotel Potrero";21;13;130;"2025-05-06 14:35:15";"2025-05-06 14:35:15";""
131;"PF 103 - Salida a La Punta";21;13;131;"2025-05-06 14:37:45";"2025-05-06 14:37:45";""
132;"PF 312 - Las Margaritas y Los Jazmines";21;13;132;"2025-05-06 14:39:45";"2025-05-06 14:39:45";""
133;"PF 313 - Los Sauces y Los Tilos";21;13;133;"2025-05-06 14:41:34";"2025-05-06 14:41:34";""
134;"PF 314 - Frente a Boxes Acceso A14/A15";21;13;134;"2025-05-06 14:43:54";"2025-05-06 14:43:54";""
135;"PF 315 - Boxes";21;13;135;"2025-05-06 14:46:20";"2025-05-06 14:46:20";""
136;"PF 316 - Los Eucaliptos";21;13;136;"2025-05-06 14:49:15";"2025-05-06 14:49:15";""
137;"PF 317 - Los Manantiales y Los Espinillos";21;13;137;"2025-05-06 14:53:12";"2025-05-06 14:53:12";""
138;"PF 318 - Circuito y Los Ciruelos";21;13;138;"2025-05-06 14:55:30";"2025-05-06 14:55:30";""
139;"QU 144 - Acceso a Quines";22;8;139;"2025-05-06 15:04:42";"2025-05-06 15:04:42";""
140;"QU 145 - Terminal de Omnibus";22;8;140;"2025-05-06 15:08:53";"2025-05-06 15:08:53";""
141;"QU 146 - Av. San Martin y Sarmiento";22;8;141;"2025-05-06 15:10:55";"2025-05-06 15:10:55";""
142;"QU 147 - 25 de Mayo y San Martin";22;8;142;"2025-05-06 15:12:42";"2025-05-06 15:12:42";""
143;"RG 01 - Ruta 9 KM - Ingreso al Trapiche";23;26;143;"2025-05-06 15:29:14";"2025-05-06 15:29:14";""
144;"SA 01 - San Luis Rey y San Martin";24;10;144;"2025-05-06 15:32:24";"2025-05-06 15:32:24";""
145;"SF 147 - Acceso a la Terminal";25;32;145;"2025-05-06 15:35:25";"2025-05-06 15:35:25";""
146;"SF 148 - Av. Centenario y 25 de Mayo";25;32;146;"2025-05-06 15:37:33";"2025-05-06 15:37:33";""
147;"SF 149 - Plaza Pringles sobre Sarmiento";25;32;147;"2025-05-06 15:39:34";"2025-05-06 15:39:34";""
148;"SF 150 - Eulalio Astudillo y Manuel Buen Pastor";25;32;148;"2025-05-06 15:41:54";"2025-05-06 15:41:54";""
149;"SG 01 - Ruta N° 15 (Termas Hotel SG)";26;33;149;"2025-05-06 15:45:56";"2025-05-06 15:45:56";""
150;"SG 02 - Ruta N° 15 Ingreso a San Gerónimo";26;33;150;"2025-05-06 15:47:42";"2025-05-06 15:47:42";""
151;"Puesto 1 - Terrazas del Portezuelo";1;20;151;"2025-05-06 15:56:57";"2025-05-06 15:56:57";""
152;"SL 01 - Av. Illia y San Martin";1;1;152;"2025-05-06 15:57:48";"2025-05-06 15:57:48";""
153;"SL 02 - Rivadavia y Pedernera";1;1;153;"2025-05-06 15:59:02";"2025-05-06 15:59:02";""
154;"SL 03 - San Martin y Pringles";1;1;154;"2025-05-06 16:00:02";"2025-05-06 16:00:02";""
155;"SL 04 - Rivadavia y 9 de Julio";1;1;155;"2025-05-06 16:01:19";"2025-05-06 16:01:19";""
156;"SL 05 - San Martin y Lavalle";1;1;156;"2025-05-06 16:02:47";"2025-05-06 16:02:47";""
157;"SL 06 -  Rivadavia y Belgrano";1;1;157;"2025-05-06 16:37:11";"2025-05-06 16:37:11";""
158;"SL 07 - San Martin y Las Heras";1;1;158;"2025-05-06 16:38:22";"2025-05-06 16:38:22";""
159;"SL 08 - Lafinur y Av. Santos Ortiz";1;4;159;"2025-05-06 16:51:24";"2025-05-06 16:51:24";""
160;"SL 10 - Puente Derivador";1;2;160;"2025-05-06 16:54:36";"2025-05-06 16:54:36";""
161;"SL 11 - Av. España esq San Martin";1;1;161;"2025-05-06 16:57:15";"2025-05-06 16:57:15";""
162;"SL 12 - Lafinur y España";1;6;162;"2025-05-06 17:00:35";"2025-05-06 17:00:35";""
163;"SL 13 - Av. Fuerza Aerea y Calle De Battini";1;16;163;"2025-05-06 17:01:54";"2025-05-06 17:01:54";""
164;"SL 14 - Riobamba y Ruta 147";1;2;164;"2025-05-06 17:03:26";"2025-05-06 17:03:26";""
165;"SL 15 - Puente Favaloro";1;7;165;"2025-05-06 17:09:14";"2025-05-06 17:09:14";""
166;"SL 16 - Illia esq Lafinur";1;1;166;"2025-05-06 17:10:56";"2025-05-06 17:10:56";""
167;"SL 17 - Chacabuco esq Belgrano";1;1;167;"2025-05-06 17:12:06";"2025-05-06 17:12:06";""
168;"SL 18 - Lafinur y Junin";1;1;168;"2025-05-06 17:13:35";"2025-05-06 17:13:35";""
169;"SL 19 - Belgrano y Colon";1;1;169;"2025-05-06 17:18:16";"2025-05-06 17:18:16";""
170;"SL 20 - Pringles y Colon";1;1;170;"2025-05-06 17:19:09";"2025-05-06 17:19:09";""
171;"SL 21 - Perón y Malvinas";1;2;171;"2025-05-06 17:20:56";"2025-05-06 17:20:56";""
172;"SL 22 - Perón y Rep. del Libano";1;2;172;"2025-05-06 17:22:20";"2025-05-06 17:22:20";""
173;"SL 23 - Caseros esq Illia";1;1;173;"2025-05-06 17:23:14";"2025-05-06 17:23:14";""
174;"SL 24 - Banex Junin";1;1;174;"2025-05-06 17:24:22";"2025-05-06 17:24:22";""
175;"SL 25 - Av. Pte Perón y Julio A Roca";1;2;175;"2025-05-06 17:26:48";"2025-05-06 17:26:48";""
176;"SL 26 - San Martin y Ayacucho";1;1;176;"2025-05-06 17:28:02";"2025-05-06 17:28:02";""
177;"SL 27 - Orzalli y Berrondo";1;2;177;"2025-05-06 17:29:44";"2025-05-06 17:29:44";""
178;"SL 28 - Barrio 500 Viviendas";1;16;178;"2025-05-06 17:31:48";"2025-05-06 17:31:48";""
179;"SL 30 - Colon esq Lavalle";1;1;179;"2025-05-06 17:35:51";"2025-05-06 17:35:51";""
180;"SL 31 - Ingreso Principal Hospital";1;2;180;"2025-05-06 17:36:49";"2025-05-06 17:36:49";""
181;"SL 32 - Balcarce y Tacuari";1;4;181;"2025-05-06 17:38:04";"2025-05-06 17:38:04";""
182;"SL 33 - Pediatria Hospital";1;2;182;"2025-05-06 17:40:45";"2025-05-06 17:40:45";""
183;"SL 34 - Estacionamiento Posterior Hospital";1;2;183;"2025-05-06 17:41:56";"2025-05-06 17:41:56";""
184;"SL 35 - Estacionamiento  Guardia Hospital";1;2;184;"2025-05-06 17:42:46";"2025-05-06 17:42:46";""
185;"SL 36 - Rivadavia y Pringles";1;1;185;"2025-05-06 17:43:32";"2025-05-06 17:43:32";""
186;"SL 37 - La Merced y Tacuari";1;4;186;"2025-05-06 17:48:56";"2025-05-06 17:48:56";""
187;"SL 38 - Belgrano y San Martin";1;1;187;"2025-05-06 17:50:21";"2025-05-06 17:50:21";""
188;"SL 41 - Ruta 147 y E. Adaro";1;2;188;"2025-05-06 17:51:47";"2025-05-06 17:51:47";""
189;"SL 42 - Av. España y Av. Sucre";1;2;189;"2025-05-06 17:53:16";"2025-05-06 17:53:16";""
190;"SL 43 - Av. Illia y Falucho";1;1;190;"2025-05-06 18:18:44";"2025-05-06 18:18:44";""
191;"SL 44 - Av. Lafinur y Julio A. Roca";1;1;191;"2025-05-06 18:21:13";"2025-05-06 18:21:13";""
192;"SL 45 - Ruta 19 y José Zabala";1;3;192;"2025-05-06 18:23:20";"2025-05-06 18:23:20";""
193;"SL 46 - Riobamba y Quines";1;2;193;"2025-05-06 18:24:55";"2025-05-06 18:24:55";""
194;"SL 47 - Caídos en Malvinas (Puente Blanco)";1;2;194;"2025-05-06 18:28:18";"2025-05-06 18:28:18";""
195;"SL 48 - Martin de Loyola y Cortaderas";1;2;195;"2025-05-06 18:29:28";"2025-05-06 18:29:28";""
196;"SL 49 - Esc. Juan T. Zabala";1;3;196;"2025-05-06 18:33:52";"2025-05-06 18:33:52";""
197;"SL 50 - Trinquete";1;3;197;"2025-05-06 18:35:37";"2025-05-06 18:35:37";""
198;"SL 91 - José Zavala y José Maldonado";1;3;198;"2025-05-06 18:37:12";"2025-05-06 18:37:12";""
199;"SL 92 - Santa Fe y Av. Santos Ortiz";1;4;199;"2025-05-06 18:39:35";"2025-05-06 18:39:35";""
200;"SL 93 - 5to Centenario y Mendoza";1;4;200;"2025-05-06 18:40:46";"2025-05-06 18:40:46";""
201;"SL 95 - Viviendas Productivas";1;16;201;"2025-05-06 18:42:30";"2025-05-06 18:42:30";""
202;"SL 96 - Ejercito de los Andes y Chile";1;6;202;"2025-05-06 18:48:23";"2025-05-06 18:48:23";""
203;"SL 97 - Av. España y Colon";1;6;203;"2025-05-06 18:49:25";"2025-05-15 20:36:22";""
204;"SL 98 - Segunda Rotonda Av. del Peregrino";1;7;204;"2025-05-06 18:51:02";"2025-05-06 18:51:02";""
205;"SL 99 - Zoilo Concha y Jose Calderon";1;17;205;"2025-05-06 18:52:16";"2025-05-06 18:52:16";""
206;"SL 100 - Barrio Puertas del Sol";1;7;206;"2025-05-06 18:53:43";"2025-05-06 18:53:43";""
207;"SL 104 - Los Tulipanes y Prud. Olguín";1;3;207;"2025-05-06 18:57:55";"2025-05-06 18:57:55";""
208;"SL 105 - Ituzaingo y Bolivar";1;1;208;"2025-05-06 18:59:30";"2025-05-06 18:59:30";""
209;"SL 106 - Caseros y Chubut";1;1;209;"2025-05-06 19:06:57";"2025-05-06 19:06:57";""
210;"SL 107 - Junín y Maipú";1;1;210;"2025-05-06 19:08:20";"2025-05-06 19:08:20";""
211;"SL 108 - Bolívar y Chacabuco";1;1;211;"2025-05-06 19:09:19";"2025-05-06 19:09:19";""
212;"SL 109 - Caseros y Tomas Jofre";1;1;212;"2025-05-06 19:11:18";"2025-05-06 19:11:18";""
213;"SL 110 - Carlos Pellegrini y Av. Sarmiento";1;2;213;"2025-05-06 19:12:46";"2025-05-06 19:12:46";""
214;"SL 111 - Escuela Domingo F. Sarmiento";1;3;214;"2025-05-06 19:15:29";"2025-05-06 19:15:29";""
215;"SL 112 - Pedernera e Ituzaingo";1;1;215;"2025-05-06 19:17:16";"2025-05-06 19:17:16";""
216;"SL 113 - Justo Daract y A. Rodriguez";1;16;216;"2025-05-06 19:21:23";"2025-05-06 19:21:23";""
217;"SL 114 - 25 de Mayo y Pje. Mendoza";1;4;217;"2025-05-06 19:22:46";"2025-05-06 19:22:46";""
218;"SL 115 - Maipú y 25 de Mayo";1;1;218;"2025-05-06 19:23:42";"2025-05-06 19:23:42";""
219;"SL 116 - Ayacucho y Constitución";1;1;219;"2025-05-06 19:27:08";"2025-05-06 19:27:08";""
220;"SL 117 - Chacabuco y Balcarce";1;1;220;"2025-05-06 19:32:04";"2025-05-06 19:32:04";""
221;"SL 118 - Chacabuco y Rio Negro";1;1;221;"2025-05-06 19:38:53";"2025-05-06 19:38:53";""
222;"SL 119 - Pringles y Maipú";1;1;222;"2025-05-06 19:39:56";"2025-05-06 19:39:56";""
223;"SL 120 - Tomas Jofre y Maipú";1;1;223;"2025-05-06 19:41:05";"2025-05-06 19:41:05";""
224;"SL 121 - Sarmiento y Av. Centenario";1;2;224;"2025-05-06 19:42:35";"2025-05-06 19:42:35";""
225;"SL 123 - Martin del Oyola y Sarmiento";1;2;225;"2025-05-06 19:44:51";"2025-05-06 19:44:51";""
226;"SL 124 - Plaza del Carmen";1;2;226;"2025-05-06 19:46:57";"2025-05-06 19:46:57";""
227;"SL 125 - Av. del Fundador y Paso de los Libres";1;2;227;"2025-05-06 19:49:22";"2025-05-06 19:49:22";""
228;"SL 126 - IV Centerio y 17 de Agosto";1;3;228;"2025-05-06 19:52:22";"2025-05-06 19:52:22";""
229;"SL 127 - Bv Juan Pekol entre calle Aguilas y Comechingones";1;7;229;"2025-05-06 19:56:43";"2025-05-06 19:56:43";""
230;"SL 128 - Centro Educativo N°13 Barrio CGT";1;4;230;"2025-05-06 19:59:25";"2025-05-06 19:59:25";""
231;"SL 129 - Antártida Argentina y Paraguay";1;4;231;"2025-05-06 20:01:24";"2025-05-06 20:01:24";""
232;"SL 130 - 25 de Mayo y Jujuy";1;4;232;"2025-05-06 20:02:35";"2025-05-06 20:02:35";""
233;"SL 131 - Italia Y Ejercito de los Andes";1;6;233;"2025-05-06 20:03:45";"2025-05-06 20:03:45";""
